currency,rate
ARS,27.052655
AUD,0.363062
BHD,0.102383
BWP,3.043455
BRL,1.538706
BND,0.365979
BGN,0.457142
CAD,0.336186
CLP,222.121880
CNY,1.738166
COP,1025.775256
HRK,1.759485
CZK,6.002406
DKK,1.739079
EUR,0.233733
HKD,2.116690
HUF,85.196769
ISK,35.111388
INR,20.419625
IDR,3855.126609
IRR,11443.245314
ILS,0.873404
JPY,30.929345
KZT,115.738086
KRW,317.952612
KWD,0.082105
LYD,1.237017
MYR,1.130230
MUR,11.653051
MXN,5.490943
NPR,32.824548
NZD,0.380196
NOK,2.266437
OMR,0.104697
PKR,47.530547
PHP,13.809091
PLN,1.075709
QAR,0.991150
RON,1.156436
RUB,19.072288
SAR,1.021103
SGD,0.365979
ZAR,4.021410
LKR,54.867321
SEK,2.337441
CHF,0.249786
TWD,7.591566
THB,9.013186
TTD,1.849102
TRY,2.651681
GBP,0.197659
USD,0.272294
VEF,114899.100369
