currency,rate
ARS,74.512495
BHD,0.281997
BWP,8.382743
BRL,4.238135
BND,1.008033
BGN,1.259128
CAD,0.925974
CLP,611.801517
CNY,4.787519
COP,2825.344617
HRK,4.846240
CZK,16.532730
DKK,4.790034
EUR,0.643782
HKD,5.830107
HUF,234.661764
ISK,96.709069
INR,56.242806
IDR,10618.370006
IRR,31518.708757
ILS,2.405659
JPY,85.190257
KZT,318.783258
KRW,875.752943
KWD,0.226145
LYD,3.407177
MYR,3.113049
MUR,32.096587
MXN,15.123980
NPR,90.410310
NZD,1.047194
NOK,6.242561
OMR,0.288372
PKR,130.915788
PHP,38.035077
PLN,2.962880
QAR,2.729976
RON,3.185231
RUB,52.531767
SAR,2.812475
SGD,1.008033
ZAR,11.076372
LKR,151.123835
SEK,6.438131
CHF,0.687999
TWD,20.909835
THB,24.825473
TTD,5.093074
TRY,7.303659
AED,2.754351
GBP,0.544422
USD,0.749993
VEF,316472.397602
