currency,rate
ARS,59.177857
AUD,0.794200
BHD,0.223963
BWP,6.657578
BRL,3.365928
BND,0.800581
CAD,0.735409
CLP,485.893042
CNY,3.802250
COP,2243.889975
HRK,3.848886
CZK,13.130302
DKK,3.804247
EUR,0.511292
HKD,4.630274
HUF,186.368480
ISK,76.806386
INR,44.668062
IDR,8433.114270
IRR,25032.172775
ILS,1.910576
JPY,67.658141
KZT,253.177808
KRW,695.523384
KWD,0.179605
LYD,2.705982
MYR,2.472385
MUR,25.491124
MXN,12.011472
NPR,71.803909
NZD,0.831682
NOK,4.957845
OMR,0.229026
PKR,103.973378
PHP,30.207476
PLN,2.353121
QAR,2.168148
RON,2.529712
RUB,41.720753
SAR,2.233669
SGD,0.800581
ZAR,8.796860
LKR,120.022618
SEK,5.113166
CHF,0.546409
TWD,16.606600
THB,19.716402
TTD,4.044922
TRY,5.800569
AED,2.187506
GBP,0.432381
USD,0.595645
VEF,251342.521560
