currency,rate
ARS,264.231052
AUD,3.546131
BWP,29.726302
BRL,15.028980
BND,3.574618
BGN,4.465032
CAD,3.283625
CLP,2169.528203
CNY,16.977168
COP,10019.041564
HRK,17.185400
CZK,58.627224
DKK,16.986087
EUR,2.282935
HKD,20.674323
HUF,832.141310
ISK,342.943008
INR,199.444345
IDR,37654.128916
IRR,111769.463876
ILS,8.530783
JPY,302.095796
KZT,1130.447128
KRW,3105.534483
KWD,0.801941
LYD,12.082296
MYR,11.039278
MUR,113.818697
MXN,53.631613
NPR,320.606785
NZD,3.713487
NOK,22.136939
OMR,1.022606
PKR,464.244506
PHP,134.877360
PLN,10.506760
QAR,9.680851
RON,11.295244
RUB,186.284516
SAR,9.973404
SGD,3.574618
ZAR,39.278265
LKR,535.904885
SEK,22.830454
CHF,2.439733
TWD,74.149009
THB,88.034373
TTD,18.060708
TRY,25.899730
AED,9.767287
GBP,1.930593
USD,2.659574
VEF,1122252.516235
