currency,rate
ARS,73.918676
AUD,0.992031
BHD,0.279750
BWP,8.315937
BRL,4.204359
BGN,1.249093
CAD,0.918595
CLP,606.925837
CNY,4.749365
COP,2802.828367
HRK,4.807618
CZK,16.400975
DKK,4.751860
EUR,0.638651
HKD,5.783645
HUF,232.791655
ISK,95.938357
INR,55.794585
IDR,10533.748163
IRR,31267.524137
ILS,2.386488
JPY,84.511344
KZT,316.242752
KRW,868.773733
KWD,0.224343
LYD,3.380024
MYR,3.088240
MUR,31.840797
MXN,15.003452
NPR,89.689796
NZD,1.038849
NOK,6.192812
OMR,0.286074
PKR,129.872470
PHP,37.731961
PLN,2.939268
QAR,2.708220
RON,3.159846
RUB,52.113121
SAR,2.790061
SGD,1.000000
ZAR,10.988100
LKR,149.919471
SEK,6.386823
CHF,0.682516
TWD,20.743196
THB,24.627629
TTD,5.052486
TRY,7.245453
AED,2.732400
GBP,0.540084
USD,0.744016
VEF,313950.308271
