currency,rate
ARS,17.581437
AUD,0.235953
BHD,0.066538
BWP,1.977932
BND,0.237848
BGN,0.297095
CAD,0.218486
CLP,144.356321
CNY,1.129629
COP,666.648157
HRK,1.143484
CZK,3.900945
DKK,1.130222
EUR,0.151902
HKD,1.375631
HUF,55.369116
ISK,22.818782
INR,13.270651
IDR,2505.434823
IRR,7436.929628
ILS,0.567622
JPY,20.100885
KZT,75.217823
KRW,206.636416
KWD,0.053360
LYD,0.803933
MYR,0.734533
MUR,7.573282
MXN,3.568547
NPR,21.332572
NZD,0.247088
NOK,1.472950
OMR,0.068042
PKR,30.889955
PHP,8.974485
PLN,0.699100
QAR,0.644146
RON,0.751564
RUB,12.395021
SAR,0.663612
SGD,0.237848
ZAR,2.613502
LKR,35.658102
SEK,1.519095
CHF,0.162335
TWD,4.933735
THB,5.857641
TTD,1.201725
TRY,1.723319
AED,0.649897
GBP,0.128458
USD,0.176963
VEF,74672.568862
