currency,rate
ARS,8.888797
AUD,0.119293
BHD,0.033640
BRL,0.505579
BND,0.120251
BGN,0.150205
CAD,0.110462
CLP,72.983454
CNY,0.571116
COP,337.042986
HRK,0.578121
CZK,1.972234
DKK,0.571416
EUR,0.076798
HKD,0.695489
HUF,27.993435
ISK,11.536686
INR,6.709356
IDR,1266.694020
IRR,3759.951845
ILS,0.286978
JPY,10.162576
KZT,38.028515
KRW,104.470932
KWD,0.026977
LYD,0.406451
MYR,0.371364
MUR,3.828889
MXN,1.804180
NPR,10.785290
NZD,0.124923
NOK,0.744692
OMR,0.034401
PKR,15.617298
PHP,4.537307
PLN,0.353450
QAR,0.325666
RON,0.379975
RUB,6.266656
SAR,0.335508
SGD,0.120251
ZAR,1.321330
LKR,18.027970
SEK,0.768022
CHF,0.082073
TWD,2.494391
THB,2.961498
TTD,0.607567
TRY,0.871273
AED,0.328574
GBP,0.064946
USD,0.089469
VEF,37752.846557
