currency,rate
ARS,80.469307
AUD,1.079944
BHD,0.304541
BWP,9.052891
BRL,4.576947
BND,1.088619
BGN,1.359787
CLP,660.711256
CNY,5.170251
COP,3051.213406
HRK,5.233666
CZK,17.854420
DKK,5.172968
EUR,0.695248
HKD,6.296188
HUF,253.421518
ISK,104.440359
INR,60.739069
IDR,11467.242872
IRR,34038.434159
ILS,2.597977
JPY,92.000690
KZT,344.268003
KRW,945.763963
KWD,0.244224
LYD,3.679560
MYR,3.361918
MUR,34.662511
MXN,16.333049
NPR,97.638054
NZD,1.130911
NOK,6.741615
OMR,0.311426
PKR,141.381693
PHP,41.075746
PLN,3.199744
QAR,2.948220
RON,3.439870
RUB,56.731356
SAR,3.037315
SGD,1.088619
ZAR,11.961860
LKR,163.205249
SEK,6.952820
CHF,0.743000
TWD,22.581446
THB,26.810115
TTD,5.500234
TRY,7.887541
AED,2.974544
GBP,0.587946
USD,0.809951
VEF,341772.404188
