currency,rate
ARS,108.303259
AUD,1.453491
BHD,0.409881
BWP,12.184243
BRL,6.160092
BND,1.465168
BGN,1.830131
CAD,1.345895
CLP,889.248154
CNY,6.958617
COP,4106.613687
HRK,7.043967
CZK,24.030179
DKK,6.962272
EUR,0.935731
HKD,8.474010
HUF,341.078822
ISK,140.565786
INR,81.748426
IDR,15433.707923
IRR,45812.167478
ILS,3.496605
JPY,123.823294
KZT,463.348676
KRW,1272.899242
KWD,0.328700
LYD,4.952302
MYR,4.524789
MUR,46.652109
MXN,21.982573
NPR,131.410595
NZD,1.522087
NOK,9.073508
OMR,0.419147
PKR,190.284952
PHP,55.283652
PLN,4.306520
QAR,3.967996
RON,4.629705
RUB,76.354464
SAR,4.087908
SGD,1.465168
ZAR,16.099410
LKR,219.657172
SEK,9.357767
TWD,30.392262
THB,36.083607
TTD,7.402739
TRY,10.615804
AED,4.003424
GBP,0.791313
USD,1.090109
VEF,459989.861660
