currency,rate
ARS,0.121792
AUD,0.001635
BHD,0.000461
BWP,0.013702
BRL,0.006927
BND,0.001648
BGN,0.002058
CAD,0.001514
CNY,0.007825
COP,4.618074
HRK,0.007921
CZK,0.027023
DKK,0.007829
EUR,0.001052
HKD,0.009529
HUF,0.383559
ISK,0.158073
INR,0.091930
IDR,17.355907
IRR,51.517866
ILS,0.003932
JPY,0.139245
KZT,0.521057
KRW,1.431433
KWD,0.000370
LYD,0.005569
MYR,0.005088
MUR,0.052462
MXN,0.024720
NPR,0.147777
NZD,0.001712
NOK,0.010204
OMR,0.000471
PKR,0.213984
PHP,0.062169
PLN,0.004843
QAR,0.004462
RON,0.005206
RUB,0.085864
SAR,0.004597
SGD,0.001648
ZAR,0.018105
LKR,0.247014
SEK,0.010523
CHF,0.001125
TWD,0.034177
THB,0.040578
TTD,0.008325
TRY,0.011938
AED,0.004502
GBP,0.000890
USD,0.001226
VEF,517.279524
