currency,rate
ARS,15.563907
AUD,0.208876
BHD,0.058903
BWP,1.750958
BRL,0.885247
BND,0.210554
BGN,0.263002
CAD,0.193414
CLP,127.790939
COP,590.148001
HRK,1.012265
CZK,3.453298
DKK,1.000525
EUR,0.134471
HKD,1.217772
HUF,49.015320
ISK,20.200249
INR,11.747799
IDR,2217.927610
IRR,6583.516522
ILS,0.502486
JPY,17.794240
KZT,66.586321
KRW,182.924180
KWD,0.047236
LYD,0.711679
MYR,0.650243
MUR,6.704222
MXN,3.159044
NPR,18.884586
NZD,0.218734
NOK,1.303924
OMR,0.060234
PKR,27.345227
PHP,7.944633
PLN,0.618876
QAR,0.570228
RON,0.665320
RUB,10.972650
SAR,0.587460
SGD,0.210554
ZAR,2.313593
LKR,31.566213
SEK,1.344774
CHF,0.143707
TWD,4.367572
THB,5.185457
TTD,1.063823
TRY,1.525562
AED,0.575319
GBP,0.113717
USD,0.156656
VEF,66103.636236
