currency,rate
ARS,0.026373
AUD,0.000354
BHD,0.000100
BWP,0.002967
BRL,0.001500
BND,0.000357
BGN,0.000446
CAD,0.000328
CLP,0.216540
CNY,0.001694
HRK,0.001715
CZK,0.005852
DKK,0.001695
EUR,0.000228
HKD,0.002064
HUF,0.083056
ISK,0.034229
INR,0.019907
IDR,3.758257
IRR,11.155704
ILS,0.000851
JPY,0.030152
KZT,0.112830
KRW,0.309963
KWD,0.000080
LYD,0.001206
MYR,0.001102
MUR,0.011360
MXN,0.005353
NPR,0.032000
NZD,0.000371
NOK,0.002209
OMR,0.000102
PKR,0.046336
PHP,0.013462
PLN,0.001049
QAR,0.000966
RON,0.001127
RUB,0.018593
SAR,0.000995
SGD,0.000357
ZAR,0.003920
LKR,0.053489
SEK,0.002279
CHF,0.000244
TWD,0.007401
THB,0.008787
TTD,0.001803
TRY,0.002585
AED,0.000975
GBP,0.000193
USD,0.000265
VEF,112.011963
