currency,rate
ARS,4.506968
AUD,0.060486
BHD,0.017057
BWP,0.507039
BRL,0.256348
BND,0.060972
BGN,0.076160
CAD,0.056009
CLP,37.005474
CNY,0.289578
COP,170.894011
HRK,0.293130
DKK,0.289730
EUR,0.038940
HKD,0.352640
HUF,14.193769
ISK,5.849552
INR,3.401907
IDR,642.263543
IRR,1906.443037
ILS,0.145509
JPY,5.152824
KZT,19.281949
KRW,52.970860
KWD,0.013679
LYD,0.206087
MYR,0.188296
MUR,1.941397
MXN,0.914790
NPR,5.468565
NZD,0.063341
NOK,0.377588
OMR,0.017443
PKR,7.918582
PHP,2.300593
PLN,0.179213
QAR,0.165126
RON,0.192662
RUB,3.177440
SAR,0.170116
SGD,0.060972
ZAR,0.669966
LKR,9.140888
SEK,0.389417
CHF,0.041614
TWD,1.264754
THB,1.501595
TTD,0.308060
TRY,0.441770
AED,0.166600
GBP,0.032930
USD,0.045364
VEF,19142.173735
