currency,rate
ARS,15.555734
AUD,0.208767
BHD,0.058872
BWP,1.750038
BRL,0.884782
BND,0.210444
BGN,0.262864
CAD,0.193313
CLP,127.723836
CNY,0.999475
COP,589.838115
HRK,1.011734
CZK,3.451485
EUR,0.134400
HKD,1.217133
HUF,48.989582
ISK,20.189641
INR,11.741630
IDR,2216.762980
IRR,6580.059529
ILS,0.502222
JPY,17.784896
KZT,66.551356
KRW,182.828127
KWD,0.047212
LYD,0.711305
MYR,0.649901
MUR,6.700701
MXN,3.157385
NPR,18.874670
NZD,0.218619
NOK,1.303239
OMR,0.060203
PKR,27.330868
PHP,7.940461
PLN,0.618551
QAR,0.569928
RON,0.664970
RUB,10.966888
SAR,0.587151
SGD,0.210444
ZAR,2.312379
LKR,31.549637
SEK,1.344068
CHF,0.143631
TWD,4.365279
THB,5.182734
TTD,1.063265
TRY,1.524761
AED,0.575017
GBP,0.113657
USD,0.156574
VEF,66068.925336
