currency,rate
ARS,115.741828
AUD,1.553321
BHD,0.438033
BWP,13.021091
BRL,6.583184
BND,1.565800
BGN,1.955830
CAD,1.438335
CLP,950.324189
CNY,7.436554
COP,4388.667329
HRK,7.527766
CZK,25.680639
DKK,7.440461
HKD,9.056029
HUF,364.505064
ISK,150.220234
INR,87.363135
IDR,16493.737882
IRR,48958.674478
ILS,3.736761
JPY,132.327822
KZT,495.172751
KRW,1360.325500
KWD,0.351276
LYD,5.292440
MYR,4.835564
MUR,49.856305
MXN,23.492398
NPR,140.436240
NZD,1.626629
NOK,9.696702
OMR,0.447935
PKR,203.354252
PHP,59.080687
PLN,4.602304
QAR,4.240529
RON,4.947686
RUB,81.598700
SAR,4.368677
SGD,1.565800
ZAR,17.205162
LKR,234.743837
SEK,10.000484
CHF,1.068683
TWD,32.479687
THB,38.561930
TTD,7.911180
TRY,11.344927
AED,4.278391
GBP,0.845663
USD,1.164980
VEF,491583.243929
