currency,rate
ARS,136.848808
AUD,1.836565
BHD,0.517918
BWP,15.400176
BRL,7.784043
BND,1.851395
BGN,2.312317
CAD,1.700632
CLP,1123.624898
CNY,8.791868
COP,5188.499581
HRK,8.898929
CZK,30.361701
DKK,8.796789
EUR,1.182269
HKD,10.707705
HUF,430.969769
ISK,177.596510
INR,103.303513
IDR,19504.354951
IRR,57887.419705
ILS,4.418877
JPY,156.457110
KZT,585.418815
KRW,1608.330768
KWD,0.415504
LYD,6.256663
MYR,5.716788
MUR,59.051362
MXN,27.775684
NPR,166.060396
NZD,1.923559
NOK,11.463557
OMR,0.529626
PKR,240.427999
PHP,69.850964
PLN,5.441368
QAR,5.013887
RON,5.849689
RUB,96.464651
SAR,5.165406
SGD,1.851395
ZAR,20.343183
LKR,277.551003
SEK,11.823330
CHF,1.263537
TWD,38.401218
THB,45.593445
TTD,9.349856
TRY,13.411231
AED,5.058654
USD,1.377442
VEF,583739.066243
