currency,rate
ARS,12.780405
AUD,0.171518
BHD,0.048369
BWP,1.438233
BRL,0.726957
BND,0.172903
BGN,0.215949
CAD,0.158823
CLP,104.936106
CNY,0.821079
COP,484.557561
HRK,0.831077
CZK,2.835500
DKK,0.821538
EUR,0.110413
HUF,40.248564
ISK,16.585861
INR,9.647586
IDR,1821.525186
IRR,5406.146126
ILS,0.412682
JPY,14.611638
KZT,54.672668
KRW,150.203122
KWD,0.038804
LYD,0.584314
MYR,0.533895
MUR,5.514847
MXN,2.593990
NPR,15.508495
NZD,0.179643
NOK,1.070589
OMR,0.049462
PKR,22.453737
PHP,6.523430
PLN,0.508173
QAR,0.468250
RON,0.546306
RUB,9.008900
SAR,0.482401
SGD,0.172903
ZAR,1.899864
LKR,25.920680
SEK,1.104189
CHF,0.118003
TWD,3.586316
THB,4.258003
TTD,0.873189
TRY,1.252484
AED,0.472431
GBP,0.093391
USD,0.128640
VEF,54515.794755
