currency,rate
ARS,15.378122
AUD,0.206380
BHD,0.058200
BWP,1.730565
BRL,0.874717
BND,0.208047
BGN,0.259842
CAD,0.191105
CLP,126.265187
CNY,0.987969
COP,583.047661
CZK,3.411838
DKK,0.988522
EUR,0.132855
HKD,1.203258
HUF,48.429399
ISK,19.957066
INR,11.608534
IDR,2191.764374
IRR,6504.987452
ILS,0.496563
JPY,17.581567
KZT,65.785313
KRW,180.733077
KWD,0.046691
LYD,0.703081
MYR,0.642413
MUR,6.635783
MXN,3.121239
NPR,18.660718
NZD,0.216156
NOK,1.288195
OMR,0.059516
PKR,27.017634
PHP,7.849368
PLN,0.611463
QAR,0.563426
RON,0.657347
RUB,10.840030
SAR,0.580453
SGD,0.208047
ZAR,2.286026
LKR,31.189260
SEK,1.328624
CHF,0.141988
TWD,4.315263
THB,5.123476
TTD,1.050672
TRY,1.507061
AED,0.568457
GBP,0.112373
USD,0.154787
VEF,65596.554841
