currency,rate
ARS,0.317537
AUD,0.004261
BHD,0.001202
BWP,0.035734
BRL,0.018062
BND,0.004296
BGN,0.005365
CAD,0.003946
CLP,2.607201
CNY,0.020400
COP,12.039127
HRK,0.020649
CZK,0.070450
DKK,0.020412
EUR,0.002743
HKD,0.024846
ISK,0.412086
INR,0.239700
IDR,45.256898
IRR,134.318980
ILS,0.010253
JPY,0.363035
KZT,1.358376
KRW,3.731888
KWD,0.000964
LYD,0.014518
MYR,0.013265
MUR,0.137020
MXN,0.064449
NPR,0.385318
NZD,0.004463
NOK,0.026599
OMR,0.001229
PKR,0.557877
PHP,0.162079
PLN,0.012626
QAR,0.011634
RON,0.013573
RUB,0.223832
SAR,0.011986
SGD,0.004296
ZAR,0.047203
LKR,0.644015
SEK,0.027434
CHF,0.002932
TWD,0.089104
THB,0.105793
TTD,0.021695
TRY,0.031119
AED,0.011738
GBP,0.002320
USD,0.003196
VEF,1354.477991
