currency,rate
ARS,0.007016
AUD,0.000094
BHD,0.000027
BWP,0.000790
BRL,0.000399
BND,0.000095
BGN,0.000119
CAD,0.000087
CLP,0.057609
CNY,0.000451
COP,0.266017
HRK,0.000456
CZK,0.001557
DKK,0.000451
EUR,0.000061
HKD,0.000549
HUF,0.022096
ISK,0.009105
INR,0.005296
IRR,2.967923
ILS,0.000227
JPY,0.008022
KZT,0.030015
KRW,0.082460
KWD,0.000021
LYD,0.000321
MYR,0.000293
MUR,0.003028
MXN,0.001424
NPR,0.008514
NZD,0.000099
NOK,0.000588
OMR,0.000027
PKR,0.012327
PHP,0.003581
PLN,0.000279
QAR,0.000257
RON,0.000300
RUB,0.004946
SAR,0.000265
SGD,0.000095
ZAR,0.001043
LKR,0.014230
SEK,0.000606
CHF,0.000065
TWD,0.001969
THB,0.002338
TTD,0.000479
TRY,0.000688
AED,0.000259
GBP,0.000051
USD,0.000071
VEF,29.928653
