currency,rate
ARS,30.969139
AUD,0.415618
BHD,0.117206
BWP,3.485088
BRL,1.761543
BND,0.418974
BGN,0.523282
CAD,0.384856
CLP,254.278396
CNY,1.989616
COP,1174.167066
HRK,2.013844
CZK,6.870909
DKK,1.990730
EUR,0.267550
HKD,2.423174
HUF,97.529257
ISK,40.190419
INR,23.377776
IDR,4413.871652
IRR,13100.030300
JPY,35.406534
KZT,132.481362
KRW,363.968232
KWD,0.094029
LYD,1.415895
MYR,1.293720
MUR,13.363433
MXN,6.285689
NPR,37.579775
NZD,0.435305
NOK,2.594224
OMR,0.119855
PKR,54.409302
PHP,15.807403
PLN,1.231392
QAR,1.134652
RON,1.323795
RUB,21.830129
SAR,1.168941
SGD,0.418974
ZAR,4.603700
LKR,62.810306
SEK,2.675641
CHF,0.285941
TWD,8.690267
THB,10.317881
TTD,2.115890
TRY,3.034986
AED,1.144783
GBP,0.226302
USD,0.311718
VEF,132101.231905
