currency,rate
ARS,1.324726
AUD,0.017778
BHD,0.005014
BWP,0.149077
BRL,0.075351
BND,0.017922
BGN,0.022384
CAD,0.016462
CLP,10.876928
CNY,0.085107
COP,50.225781
HRK,0.086144
CZK,0.293908
DKK,0.085155
EUR,0.011445
HKD,0.103653
HUF,4.171879
ISK,1.719172
IDR,188.806309
IRR,560.362550
ILS,0.042776
JPY,1.514538
KZT,5.666979
KRW,15.568984
KWD,0.004022
LYD,0.060566
MYR,0.055340
MUR,0.571630
MXN,0.268875
NPR,1.607500
NZD,0.018620
NOK,0.110970
OMR,0.005127
PKR,2.327394
PHP,0.676172
PLN,0.052674
QAR,0.048535
RON,0.056626
RUB,0.933798
SAR,0.050002
SGD,0.017922
ZAR,0.196926
LKR,2.686753
SEK,0.114452
CHF,0.012231
TWD,0.371732
THB,0.441354
TTD,0.090509
TRY,0.129824
AED,0.048969
GBP,0.009680
USD,0.013334
VEF,5650.718471
