currency,rate
ARS,0.770560
AUD,0.010341
BHD,0.002916
BWP,0.086714
BRL,0.043830
BND,0.010425
BGN,0.013020
CAD,0.009576
CLP,6.326841
CNY,0.049505
COP,29.215099
HRK,0.050108
CZK,0.170959
DKK,0.049532
EUR,0.006657
HKD,0.060292
HUF,2.426679
INR,0.581675
IDR,109.823977
IRR,325.949084
ILS,0.024882
JPY,0.880970
KZT,3.296342
KRW,9.056094
KWD,0.002340
LYD,0.035230
MYR,0.032190
MUR,0.332503
MXN,0.156398
NPR,0.935043
NZD,0.010831
NOK,0.064548
OMR,0.002982
PKR,1.353788
PHP,0.393313
PLN,0.030639
QAR,0.028232
RON,0.032938
RUB,0.543167
SAR,0.029085
SGD,0.010425
ZAR,0.114547
LKR,1.562818
SEK,0.066574
CHF,0.007115
TWD,0.216227
THB,0.256725
TTD,0.052647
TRY,0.075515
AED,0.028484
GBP,0.005631
USD,0.007756
VEF,3286.883660
