currency,rate
ARS,0.874673
AUD,0.011738
BHD,0.003310
BWP,0.098431
BRL,0.049752
BND,0.011833
BGN,0.014779
CAD,0.010870
CLP,7.181680
CNY,0.056193
COP,33.162440
HRK,0.056878
CZK,0.194058
DKK,0.056225
EUR,0.007557
HKD,0.068439
HUF,2.754555
ISK,1.135113
INR,0.660267
IDR,124.662631
IRR,369.989063
ILS,0.028243
KZT,3.741721
KRW,10.279691
KWD,0.002656
LYD,0.039990
MYR,0.036539
MUR,0.377428
MXN,0.177529
NPR,1.061380
NZD,0.012294
NOK,0.073270
OMR,0.003385
PKR,1.536702
PHP,0.446454
PLN,0.034779
QAR,0.032046
RON,0.037388
RUB,0.616557
SAR,0.033015
SGD,0.011833
ZAR,0.130024
LKR,1.773975
SEK,0.075569
CHF,0.008076
TWD,0.245442
THB,0.291412
TTD,0.059760
TRY,0.085718
AED,0.032333
GBP,0.006392
USD,0.008804
VEF,3730.984582
