currency,rate
ARS,0.085087
AUD,0.001142
BHD,0.000322
BWP,0.009575
BRL,0.004840
BND,0.001151
BGN,0.001438
CAD,0.001057
CLP,0.698628
CNY,0.005466
COP,3.226015
HRK,0.005533
CZK,0.018878
DKK,0.005470
EUR,0.000735
HKD,0.006658
HUF,0.267961
ISK,0.110423
INR,0.064230
IDR,12.127079
IRR,35.992235
ILS,0.002747
JPY,0.097279
KZT,0.363992
KWD,0.000258
LYD,0.003890
MYR,0.003554
MUR,0.036716
MXN,0.017270
NPR,0.103250
NZD,0.001196
NOK,0.007128
OMR,0.000329
PKR,0.149489
PHP,0.043431
PLN,0.003383
QAR,0.003117
RON,0.003637
RUB,0.059978
SAR,0.003212
SGD,0.001151
ZAR,0.012649
LKR,0.172571
SEK,0.007351
CHF,0.000786
TWD,0.023876
THB,0.028348
TTD,0.005813
TRY,0.008339
AED,0.003145
GBP,0.000622
USD,0.000856
VEF,362.947149
