currency,rate
ARS,329.356250
AUD,4.420090
BHD,1.246482
BWP,37.063854
BRL,18.733982
BND,4.455782
BGN,5.565091
CAD,4.092938
CLP,2704.246298
CNY,21.159531
COP,12487.246241
HRK,21.417196
CZK,73.072000
DKK,21.171375
EUR,2.845386
HKD,25.770408
HUF,1037.221944
ISK,427.424406
INR,248.622242
IDR,46941.447950
IRR,139318.593507
ILS,10.634983
JPY,376.547869
KZT,1408.936974
KRW,3870.795790
LYD,15.058013
MYR,13.758686
MUR,142.119872
MXN,66.848189
NPR,399.660254
NZD,4.629462
NOK,27.589528
OMR,1.274660
PKR,578.641972
PHP,168.111451
PLN,13.095828
QAR,12.067004
RON,14.078540
RUB,232.163044
SAR,12.431666
SGD,4.455782
ZAR,48.960268
LKR,667.986509
SEK,28.455400
CHF,3.040976
TWD,92.420836
THB,109.730484
TTD,22.502450
TRY,32.277027
AED,12.174745
GBP,2.406716
USD,3.315111
VEF,1404894.294800
