currency,rate
ARS,0.233762
AUD,0.003137
BHD,0.000885
BWP,0.026306
BRL,0.013297
BND,0.003163
BGN,0.003950
CAD,0.002905
CLP,1.919352
CNY,0.015018
COP,8.862885
HRK,0.015201
CZK,0.051863
DKK,0.015026
EUR,0.002020
HKD,0.018291
HUF,0.736173
ISK,0.303367
INR,0.176461
IDR,33.316925
IRR,98.882062
ILS,0.007548
JPY,0.267257
KRW,2.747316
KWD,0.000710
LYD,0.010687
MYR,0.009765
MUR,0.100870
MXN,0.047446
NPR,0.283661
NZD,0.003286
NOK,0.019582
OMR,0.000905
PKR,0.410694
PHP,0.119318
PLN,0.009295
QAR,0.008565
RON,0.009992
RUB,0.164779
SAR,0.008823
SGD,0.003163
ZAR,0.034750
LKR,0.474107
SEK,0.020196
CHF,0.002158
TWD,0.065596
THB,0.077882
TTD,0.015971
TRY,0.022909
AED,0.008641
GBP,0.001708
USD,0.002353
VEF,997.130688
