currency,rate
ARS,0.493058
AUD,0.006617
BHD,0.001866
BWP,0.055486
BRL,0.028045
BND,0.006670
BGN,0.008331
CAD,0.006127
CLP,4.048355
CNY,0.031677
COP,18.693860
HRK,0.032062
CZK,0.109391
DKK,0.031694
EUR,0.004260
HKD,0.038579
HUF,1.552759
ISK,0.639870
INR,0.372197
IDR,70.273048
IRR,208.564981
ILS,0.015921
JPY,0.563706
KZT,2.109230
KRW,5.794722
KWD,0.001497
LYD,0.022542
MYR,0.020597
MUR,0.212759
MXN,0.100074
NPR,0.598306
NZD,0.006930
NOK,0.041303
OMR,0.001908
PKR,0.866248
PHP,0.251669
PLN,0.019605
QAR,0.018065
RON,0.021076
RUB,0.347556
SAR,0.018611
SGD,0.006670
ZAR,0.073295
SEK,0.042599
CHF,0.004552
TWD,0.138357
THB,0.164271
TTD,0.033687
TRY,0.048320
AED,0.018226
GBP,0.003603
USD,0.004963
VEF,2103.177648
