currency,rate
ARS,21.872490
AUD,0.293537
BHD,0.082779
BWP,2.461404
BRL,1.244120
BND,0.295908
BGN,0.369577
CAD,0.271811
CLP,179.588517
CNY,1.405201
COP,829.275808
HRK,1.422312
CZK,4.852699
DKK,1.405987
EUR,0.188962
HKD,1.711408
HUF,68.881725
ISK,28.385179
INR,16.510959
IDR,3117.373233
IRR,9252.123087
ILS,0.706267
JPY,25.006477
KZT,93.567255
KRW,257.058862
KWD,0.066410
MYR,0.913712
MUR,9.438155
MXN,4.439376
NPR,26.541367
NZD,0.307442
NOK,1.832216
OMR,0.084650
PKR,38.427511
PHP,11.164252
PLN,0.869692
QAR,0.801368
RON,0.934953
RUB,15.417907
SAR,0.825585
SGD,0.295908
ZAR,3.251443
LKR,44.360866
SEK,1.889718
CHF,0.201951
TWD,6.137651
THB,7.287182
TTD,1.494384
TRY,2.143512
AED,0.808523
GBP,0.159830
USD,0.220156
VEF,93298.780962
