currency,rate
ARS,2.317454
AUD,0.031101
BHD,0.008771
BWP,0.260793
BRL,0.131818
BND,0.031352
BGN,0.039158
CAD,0.028799
CLP,19.027925
CNY,0.148885
COP,87.864182
HRK,0.150698
CZK,0.514158
DKK,0.148968
EUR,0.020021
HKD,0.181329
HUF,7.298219
ISK,3.007492
INR,1.749384
IDR,330.294753
IRR,980.289327
ILS,0.074831
JPY,2.649509
KZT,9.913723
KRW,27.236133
KWD,0.007036
LYD,0.105953
MYR,0.096810
MXN,0.470365
NPR,2.812135
NZD,0.032574
NOK,0.194129
OMR,0.008969
PKR,4.071506
PHP,1.182885
PLN,0.092146
QAR,0.084907
RON,0.099061
RUB,1.633572
SAR,0.087473
SGD,0.031352
ZAR,0.344500
LKR,4.700163
SEK,0.200221
CHF,0.021397
TWD,0.650302
THB,0.772098
TTD,0.158334
TRY,0.227111
AED,0.085665
GBP,0.016934
USD,0.023326
VEF,9885.276963
