currency,rate
ARS,4.926929
AUD,0.066121
BHD,0.018646
BWP,0.554448
BRL,0.280247
BND,0.066655
BGN,0.083250
CAD,0.061227
CLP,40.453546
CNY,0.316531
COP,186.800067
HRK,0.320386
CZK,1.093104
DKK,0.316708
EUR,0.042565
HKD,0.385506
HUF,15.516081
ISK,6.393956
INR,3.719207
IDR,702.209715
IRR,2084.104222
ILS,0.159092
JPY,5.632881
KZT,21.076666
KRW,57.904273
KWD,0.014959
LYD,0.225257
MYR,0.205820
MUR,2.126009
NPR,5.978625
NZD,0.069253
NOK,0.412719
OMR,0.019068
PKR,8.656061
PHP,2.514824
PLN,0.195904
QAR,0.180514
RON,0.210605
RUB,3.472989
SAR,0.185969
SGD,0.066655
ZAR,0.732410
LKR,9.992589
SEK,0.425672
CHF,0.045491
TWD,1.382548
THB,1.641488
TTD,0.336620
TRY,0.482841
AED,0.182125
GBP,0.036003
USD,0.049592
VEF,21016.190717
