currency,rate
ARS,23.938060
AUD,0.321258
BHD,0.090596
BWP,2.693851
BRL,1.361611
BND,0.323852
BGN,0.404478
CAD,0.297480
CLP,196.548294
CNY,1.537903
COP,907.590016
HRK,1.556631
CZK,5.310972
DKK,1.538764
EUR,0.206806
HKD,1.873028
HUF,75.386700
ISK,31.065786
INR,18.070202
IDR,3411.768190
IRR,10125.864589
ILS,0.772965
JPY,27.368011
KZT,102.403453
KRW,281.334695
KWD,0.072681
LYD,1.094437
MUR,10.329465
MXN,4.858617
NPR,29.047850
NZD,0.336476
NOK,2.005244
OMR,0.092644
PKR,42.056484
PHP,12.218569
PLN,0.951823
QAR,0.877046
RON,1.023247
RUB,16.873925
SAR,0.903550
SGD,0.323852
ZAR,3.558499
LKR,48.550167
SEK,2.068177
CHF,0.221022
TWD,6.717272
THB,7.975361
TTD,1.635509
TRY,2.345938
AED,0.884877
GBP,0.174923
USD,0.240947
VEF,102109.625373
