currency,rate
ARS,11.937727
AUD,0.160209
BHD,0.045180
BWP,1.343403
BRL,0.679025
BND,0.161503
BGN,0.201710
CAD,0.148351
CLP,98.017127
CNY,0.766941
COP,452.608182
HRK,0.776280
CZK,2.648541
DKK,0.767370
EUR,0.103133
HKD,0.934065
HUF,37.594769
ISK,15.492269
INR,9.011471
IDR,1701.422636
IRR,5049.691030
ILS,0.385472
JPY,13.648217
KZT,51.067817
KRW,140.299455
KWD,0.036246
LYD,0.545787
MYR,0.498692
MUR,5.151225
MXN,2.422955
NPR,14.485940
NZD,0.167798
OMR,0.046201
PKR,20.973246
PHP,6.093306
PLN,0.474667
QAR,0.437376
RON,0.510286
RUB,8.414897
SAR,0.450594
SGD,0.161503
ZAR,1.774596
LKR,24.211596
SEK,1.031384
CHF,0.110222
TWD,3.349852
THB,3.977251
TTD,0.815616
TRY,1.169901
AED,0.441281
GBP,0.087233
USD,0.120158
VEF,50921.287248
