currency,rate
ARS,0.824091
AUD,0.011060
BHD,0.003119
BWP,0.092738
BRL,0.046875
BND,0.011149
BGN,0.013925
CAD,0.010241
CLP,6.766363
CNY,0.052944
COP,31.244654
HRK,0.053589
CZK,0.182835
DKK,0.052973
EUR,0.007120
HKD,0.064481
HUF,2.595259
ISK,1.069469
INR,0.622084
IDR,117.453381
IRR,348.592566
ILS,0.026610
JPY,0.942170
KZT,3.525337
KRW,9.685216
KWD,0.002502
LYD,0.037677
MYR,0.034426
MUR,0.355602
MXN,0.167263
NZD,0.011583
NOK,0.069032
OMR,0.003189
PKR,1.447835
PHP,0.420636
PLN,0.032767
QAR,0.030193
RON,0.035226
RUB,0.580901
SAR,0.031106
SGD,0.011149
ZAR,0.122505
LKR,1.671386
SEK,0.071199
CHF,0.007609
TWD,0.231249
THB,0.274559
TTD,0.056304
TRY,0.080761
AED,0.030463
GBP,0.006022
USD,0.008295
VEF,3515.221444
