currency,rate
ARS,71.143531
AUD,0.954774
BHD,0.269250
BWP,8.006083
BRL,4.046687
BND,0.962484
BGN,1.202103
CAD,0.884107
CLP,584.138394
CNY,4.570624
COP,2697.343054
HRK,4.626282
CZK,15.784125
DKK,4.573183
EUR,0.614626
HKD,5.566610
HUF,224.048069
ISK,92.327021
INR,53.704353
IDR,10139.720651
IRR,30093.908079
ILS,2.297240
JPY,81.337291
KZT,304.341429
KRW,836.122227
KWD,0.216008
LYD,3.252649
MYR,2.971984
MUR,30.699006
MXN,14.439733
NPR,86.329747
NOK,5.959554
OMR,0.275337
PKR,124.991201
PHP,36.313391
PLN,2.828802
QAR,2.606567
RON,3.041075
RUB,50.149037
SAR,2.685337
SGD,0.962484
ZAR,10.575802
LKR,144.290321
SEK,6.146589
CHF,0.656875
TWD,19.963625
THB,23.702645
TTD,4.860706
TRY,6.972091
AED,2.629840
GBP,0.519870
USD,0.716090
VEF,303468.178256
