currency,rate
ARS,258.387498
AUD,3.467661
BHD,0.977893
BWP,29.077440
BRL,14.697237
BND,3.495662
BGN,4.365941
CAD,3.211003
CLP,2121.542966
CNY,16.600135
COP,9796.529794
HRK,16.802280
CZK,57.326652
DKK,16.609427
EUR,2.232270
HKD,20.217474
HUF,813.724298
ISK,335.324206
INR,195.049826
IDR,36826.637720
IRR,109298.617635
ILS,8.343387
JPY,295.410401
KZT,1105.343226
KRW,3036.727678
KWD,0.784523
LYD,11.813355
MYR,10.794003
MUR,111.496284
MXN,52.443931
NPR,313.542595
NZD,3.631918
NOK,21.644615
PKR,453.957839
PHP,131.887272
PLN,10.273976
QAR,9.466840
RON,11.044936
RUB,182.137209
SAR,9.752926
SGD,3.495662
ZAR,38.410448
LKR,524.050668
SEK,22.323911
CHF,2.385715
TWD,72.506256
THB,86.086070
TTD,17.653686
TRY,25.322064
AED,9.551365
GBP,1.888124
USD,2.600780
VEF,1102171.651899
