currency,rate
ARS,1.959154
AUD,0.026293
BHD,0.007415
BWP,0.220472
BRL,0.111438
BND,0.026505
BGN,0.033104
CAD,0.024347
CLP,16.086033
CNY,0.125866
COP,74.279570
HRK,0.127399
CZK,0.434664
DKK,0.125937
EUR,0.016926
HKD,0.153294
HUF,6.169847
ISK,2.542506
INR,1.478913
IDR,279.228141
IRR,828.727566
ILS,0.063261
JPY,2.239870
KZT,8.380970
KRW,23.025176
KWD,0.005948
LYD,0.089572
MYR,0.081843
MUR,0.845391
MXN,0.397642
NPR,2.377353
NZD,0.027538
NOK,0.164115
OMR,0.007582
PKR,3.442014
PLN,0.077900
QAR,0.071780
RON,0.083745
RUB,1.381007
SAR,0.073949
SGD,0.026505
ZAR,0.291237
LKR,3.973474
SEK,0.169265
CHF,0.018089
TWD,0.549759
THB,0.652725
TTD,0.133854
TRY,0.191998
AED,0.072421
GBP,0.014316
USD,0.019720
VEF,8356.922074
