currency,rate
ARS,0.569188
AUD,0.007639
BHD,0.002154
BWP,0.064053
BRL,0.032376
BND,0.007700
BGN,0.009618
CAD,0.007073
CLP,4.673436
CNY,0.036568
COP,21.580264
HRK,0.037013
CZK,0.126282
DKK,0.036588
EUR,0.004917
HKD,0.044536
HUF,1.792511
ISK,0.738668
INR,0.429665
IDR,81.123476
IRR,240.768213
ILS,0.018379
JPY,0.650744
KZT,2.434903
KRW,6.689449
KWD,0.001728
LYD,0.026023
MYR,0.023778
MUR,0.245609
MXN,0.115526
NPR,0.690687
NZD,0.008001
NOK,0.047680
OMR,0.002203
PHP,0.290528
PLN,0.022632
QAR,0.020854
RON,0.024330
RUB,0.401221
SAR,0.021484
SGD,0.007700
ZAR,0.084612
LKR,1.154404
SEK,0.049176
CHF,0.005255
TWD,0.159720
THB,0.189635
TTD,0.038888
TRY,0.055781
AED,0.021040
GBP,0.004159
USD,0.005729
VEF,2427.916332
