currency,rate
ARS,25.149707
AUD,0.337519
BHD,0.095182
BWP,2.830203
BRL,1.430531
BND,0.340244
BGN,0.424951
CAD,0.312538
CLP,206.496771
CNY,1.615746
COP,953.528542
HRK,1.635421
CZK,5.579792
DKK,1.616650
EUR,0.217274
HKD,1.967833
HUF,79.202469
ISK,32.638210
INR,18.984843
IDR,3584.458058
IRR,10638.394787
ILS,0.812089
JPY,28.753268
KZT,107.586700
KRW,295.574716
KWD,0.076360
LYD,1.149833
MYR,1.050616
MUR,10.852301
MXN,5.104541
NPR,30.518134
NZD,0.353507
NOK,2.106742
OMR,0.097333
PKR,44.185213
PHP,12.837023
QAR,0.921439
RON,1.075040
RUB,17.728015
SAR,0.949284
SGD,0.340244
ZAR,3.738616
LKR,51.007579
SEK,2.172860
CHF,0.232209
TWD,7.057273
THB,8.379041
TTD,1.718291
TRY,2.464680
AED,0.929666
GBP,0.183777
USD,0.253143
VEF,107278.000491
