currency,rate
ARS,23.394204
AUD,0.313959
BHD,0.088538
BWP,2.632649
BRL,1.330676
BND,0.316495
BGN,0.395289
CAD,0.290722
CLP,192.082860
CNY,1.502963
COP,886.970234
HRK,1.521265
CZK,5.190311
DKK,1.503805
EUR,0.202108
HKD,1.830474
HUF,73.673969
ISK,30.359994
INR,17.659660
IDR,3334.255308
IRR,9895.812339
ILS,0.755404
JPY,26.746229
KZT,100.076921
KRW,274.942976
KWD,0.071030
LYD,1.069572
MYR,0.977281
MUR,10.094787
MXN,4.748233
NPR,28.387904
NZD,0.328831
NOK,1.959687
OMR,0.090539
PKR,41.100992
PHP,11.940972
PLN,0.930198
QAR,0.857120
RUB,16.490562
SAR,0.883022
SGD,0.316495
ZAR,3.477652
LKR,47.447142
SEK,2.021190
CHF,0.216001
TWD,6.564660
THB,7.794166
TTD,1.598351
TRY,2.292640
AED,0.864773
GBP,0.170949
USD,0.235473
VEF,99789.769249
