currency,rate
ARS,1.418642
AUD,0.019039
BHD,0.005369
BWP,0.159646
BRL,0.080693
BND,0.019192
BGN,0.023971
CAD,0.017630
CLP,11.648048
CNY,0.091141
COP,53.786537
HRK,0.092251
CZK,0.314744
DKK,0.091192
EUR,0.012256
HKD,0.111001
HUF,4.467644
ISK,1.841053
INR,1.070895
IDR,202.191732
IRR,600.089451
ILS,0.045808
JPY,1.621911
KZT,6.068739
KRW,16.672747
KWD,0.004307
LYD,0.064860
MYR,0.059263
MUR,0.612155
MXN,0.287936
NPR,1.721464
NZD,0.019941
NOK,0.118837
OMR,0.005490
PKR,2.492395
PHP,0.724109
PLN,0.056408
QAR,0.051976
RON,0.060641
SAR,0.053547
SGD,0.019192
ZAR,0.210887
LKR,2.877230
SEK,0.122566
CHF,0.013098
TWD,0.398086
THB,0.472644
TTD,0.096925
TRY,0.139027
AED,0.052440
GBP,0.010366
USD,0.014279
VEF,6051.326132
