currency,rate
ARS,26.493331
AUD,0.355551
BHD,0.100267
BWP,2.981407
BRL,1.506957
BND,0.358422
BGN,0.447654
CAD,0.329235
CLP,217.528872
CNY,1.702067
COP,1004.470855
HRK,1.722794
CZK,5.877893
DKK,1.703020
EUR,0.228882
HKD,2.072965
HUF,83.433865
ISK,34.381909
INR,19.999109
IDR,3775.957921
IRR,11206.751595
ILS,0.855475
JPY,30.289413
KZT,113.334525
KRW,311.365811
KWD,0.080440
LYD,1.211263
MYR,1.106745
MUR,11.432086
MXN,5.377251
NPR,32.148567
NZD,0.372393
NOK,2.219295
OMR,0.102533
PKR,46.545810
PHP,13.522842
PLN,1.053425
QAR,0.970667
RON,1.132474
RUB,18.675135
SGD,0.358422
ZAR,3.938351
LKR,53.732662
SEK,2.288945
CHF,0.244615
TWD,7.434308
THB,8.826692
TTD,1.810091
TRY,2.596356
AED,0.979333
GBP,0.193596
USD,0.266667
VEF,113009.333375
