currency,rate
ARS,73.916604
AUD,0.991990
BHD,0.279745
BWP,8.318149
BRL,4.204421
BND,1.000000
BGN,1.248959
CAD,0.918568
CLP,606.907274
CNY,4.748781
COP,2802.481633
HRK,4.806608
CZK,16.399367
DKK,4.751439
EUR,0.638583
HKD,5.783589
HUF,232.781143
ISK,95.925797
INR,55.797672
IDR,10534.952476
IRR,31266.925622
ILS,2.386783
JPY,84.507702
KZT,316.204223
KRW,868.713077
KWD,0.224428
LYD,3.379433
MYR,3.087828
MUR,31.895610
MXN,15.002573
NPR,89.694757
NZD,1.038979
NOK,6.191849
OMR,0.286069
PKR,129.863179
PHP,37.728835
PLN,2.939064
QAR,2.708168
RON,3.159612
RUB,52.103775
SAR,2.790008
ZAR,10.988031
LKR,149.914552
SEK,6.386175
CHF,0.682479
TWD,20.741778
THB,24.626540
TTD,5.050169
TRY,7.243853
AED,2.732348
GBP,0.540133
USD,0.744002
VEF,315296.934292
