currency,rate
ARS,3.001502
AUD,0.040281
BHD,0.011359
BWP,0.337772
BRL,0.170727
BND,0.040607
BGN,0.050716
CAD,0.037300
CLP,24.644440
CNY,0.192832
COP,113.799245
HRK,0.195180
CZK,0.665923
DKK,0.192940
EUR,0.025931
HKD,0.234852
HUF,9.452450
ISK,3.895220
INR,2.265754
IDR,427.788580
IRR,1269.643480
ILS,0.096919
JPY,3.431570
KZT,12.839978
KRW,35.275483
KWD,0.009113
LYD,0.137227
MYR,0.125386
MUR,1.295172
MXN,0.609203
NPR,3.642199
NZD,0.042189
NOK,0.251430
OMR,0.011616
PKR,5.273302
PHP,1.532040
PLN,0.119345
QAR,0.109969
RON,0.128301
RUB,2.115757
SAR,0.113293
SGD,0.040607
ZAR,0.446187
LKR,6.087520
SEK,0.259321
CHF,0.027713
TWD,0.842253
TTD,0.205070
TRY,0.294148
AED,0.110951
GBP,0.021933
USD,0.030211
VEF,12803.135871
