currency,rate
ARS,10.204046
AUD,0.136942
BHD,0.038618
BWP,1.148304
BRL,0.580412
BND,0.138048
BGN,0.172416
CAD,0.126807
CLP,83.782385
CNY,0.655560
COP,386.877216
HRK,0.663543
CZK,2.263901
DKK,0.655927
EUR,0.088155
HKD,0.798413
HUF,32.134990
ISK,13.242372
INR,7.702762
IDR,1454.329988
IRR,4316.339127
ILS,0.329491
JPY,11.666126
KZT,43.651387
KRW,119.924175
KWD,0.030982
LYD,0.466524
MYR,0.426269
MUR,4.403128
MXN,2.071076
NPR,12.382189
NZD,0.143429
NOK,0.854773
OMR,0.039491
PKR,17.927363
PHP,5.208393
PLN,0.405732
QAR,0.373857
RON,0.436178
RUB,7.192826
SAR,0.385155
SGD,0.138048
ZAR,1.516877
LKR,20.695416
SEK,0.881599
CHF,0.094215
TWD,2.863363
THB,3.399647
TTD,0.697166
AED,0.377195
GBP,0.074564
USD,0.102708
VEF,43526.137194
