currency,rate
ARS,14.636462
AUD,0.196427
BHD,0.055393
BWP,1.647103
BRL,0.832531
BND,0.198013
BGN,0.247310
CAD,0.181889
CLP,120.175638
CNY,0.940321
COP,554.928296
HRK,0.951772
CZK,3.247291
DKK,0.940848
EUR,0.126448
HKD,1.145227
HUF,46.093734
ISK,18.994572
INR,11.048674
IDR,2086.059426
IRR,6191.263326
ILS,0.472614
JPY,16.733639
KZT,62.612603
KRW,172.016638
KWD,0.044440
LYD,0.669172
MYR,0.611431
MUR,6.315751
MXN,2.970707
NPR,17.760744
NZD,0.205731
NOK,1.226068
OMR,0.056645
PKR,25.714621
PHP,7.470807
PLN,0.581973
QAR,0.536253
RON,0.625645
RUB,10.317234
SAR,0.552458
SGD,0.198013
ZAR,2.175775
LKR,29.685057
SEK,1.264547
CHF,0.135140
TWD,4.107145
THB,4.876379
TRY,1.434378
AED,0.541041
GBP,0.106954
USD,0.147322
VEF,62432.948148
