currency,rate
ARS,99.349993
AUD,1.333316
BHD,0.376000
BWP,11.180276
BRL,5.651088
BND,1.344082
BGN,1.678704
CAD,1.234631
CLP,815.733270
CNY,6.382752
COP,3766.765706
HRK,6.460476
CZK,22.042098
DKK,6.386325
EUR,0.858308
HKD,7.773619
HUF,312.876992
ISK,128.932157
INR,74.996658
IDR,14159.842203
IRR,42025.318481
ILS,3.208032
JPY,113.585299
KZT,425.004470
KRW,1167.621792
KWD,0.301649
LYD,4.542235
MYR,4.150294
MUR,42.870321
MXN,20.164691
NPR,120.557128
NZD,1.396473
NOK,8.322354
OMR,0.384500
PKR,174.546789
PHP,50.710656
PLN,3.950344
QAR,3.640000
RON,4.246778
RUB,70.031757
SAR,3.750000
SGD,1.344082
ZAR,14.768817
LKR,201.497482
SEK,8.583544
CHF,0.917307
TWD,27.878655
THB,33.100094
TTD,6.787842
TRY,9.736334
AED,3.672500
GBP,0.725984
VEF,423785.000155
