currency,rate
ARS,6.727011
AUD,0.090279
BHD,0.025459
BWP,0.757019
BRL,0.382636
BND,0.091008
BGN,0.113665
CAD,0.083597
CLP,55.233486
CNY,0.432178
COP,255.048567
HRK,0.437440
CZK,1.492475
DKK,0.432419
EUR,0.058116
HKD,0.526353
HUF,21.184973
ISK,8.730026
INR,5.078041
IDR,958.766154
IRR,2845.543925
ILS,0.217217
JPY,7.690887
KZT,28.777150
KRW,79.059939
KWD,0.020425
LYD,0.307556
MYR,0.281017
MUR,2.902759
MXN,1.365356
NPR,8.162951
NZD,0.094555
NOK,0.563509
OMR,0.026035
PKR,11.818603
PHP,3.433630
PLN,0.267479
QAR,0.246465
RON,0.287550
RUB,4.741866
SAR,0.253913
SGD,0.091008
LKR,13.643441
SEK,0.581194
CHF,0.062111
TWD,1.887670
THB,2.241215
TTD,0.459606
TRY,0.659249
AED,0.248666
GBP,0.049157
USD,0.067710
VEF,28694.579277
