currency,rate
ARS,27.140495
AUD,0.362983
BHD,0.102383
BWP,3.070685
BRL,1.535117
BND,0.367706
BGN,0.460137
CAD,0.337346
CLP,221.493282
CNY,1.742724
COP,1025.736061
HRK,1.767173
CZK,6.031831
DKK,1.750355
EUR,0.235265
HKD,2.118635
HUF,84.767709
ISK,35.291002
INR,20.401328
IDR,3880.833332
IRR,11443.235716
ILS,0.854570
JPY,31.137474
KZT,116.545450
KRW,320.975139
KWD,0.082180
LYD,1.249009
MYR,1.129868
MUR,11.713480
MXN,5.635168
NPR,32.795135
NZD,0.379576
NOK,2.296938
OMR,0.104697
PKR,46.414060
PHP,13.752455
PLN,1.085252
QAR,0.991150
RON,1.164372
RUB,19.325406
SAR,1.021103
SGD,0.367706
ZAR,4.172787
LKR,55.001892
SEK,2.336337
CHF,0.249355
TWD,7.588754
THB,9.087384
TTD,1.842844
TRY,2.599136
GBP,0.199189
USD,0.272294
VEF,118375.042665
