currency,rate
AUD,0.013374
BHD,0.003772
BWP,0.113140
BRL,0.056562
BND,0.013548
BGN,0.016954
CAD,0.012430
CLP,8.160989
CNY,0.064211
COP,37.793565
HRK,0.065112
CZK,0.222245
DKK,0.064492
EUR,0.008668
HKD,0.078062
HUF,3.123293
ISK,1.300308
INR,0.751693
IDR,142.990516
IRR,421.629592
ILS,0.031487
JPY,1.147270
KZT,4.294154
KRW,11.826429
KWD,0.003028
LYD,0.046020
MYR,0.041630
MUR,0.431587
MXN,0.207630
NPR,1.208347
NZD,0.013986
NOK,0.084631
OMR,0.003858
PKR,1.710141
PHP,0.506714
PLN,0.039986
QAR,0.036519
RON,0.042902
RUB,0.712051
SAR,0.037623
SGD,0.013548
ZAR,0.153748
LKR,2.026562
SEK,0.086083
CHF,0.009188
TWD,0.279610
THB,0.334827
TTD,0.067900
TRY,0.095766
AED,0.036845
GBP,0.007339
USD,0.010033
VEF,4361.565403
