currency,rate
ARS,74.770733
BHD,0.282059
BWP,8.459586
BRL,4.229171
BND,1.013011
BGN,1.267656
CAD,0.929372
CLP,610.203136
CNY,4.801119
COP,2825.852573
HRK,4.868475
CZK,16.617398
DKK,4.822141
EUR,0.648142
HKD,5.836735
HUF,233.530884
ISK,97.224981
INR,56.204659
IDR,10691.505617
IRR,31525.553529
ILS,2.354298
JPY,85.782214
KZT,321.077004
KRW,884.270776
KWD,0.226401
LYD,3.440958
MYR,3.112731
MUR,32.270064
MXN,15.524612
NPR,90.348989
NZD,1.045714
NOK,6.327952
OMR,0.288435
PKR,127.868459
PHP,37.887341
PLN,2.989816
QAR,2.730571
RON,3.207787
RUB,53.240546
SAR,2.813088
SGD,1.013011
ZAR,11.495823
LKR,151.527516
SEK,6.436493
CHF,0.686961
TWD,20.906645
THB,25.035297
TTD,5.076945
TRY,7.160494
AED,2.754951
GBP,0.548756
USD,0.750157
VEF,326117.440623
