currency,rate
ARS,58.981952
AUD,0.788838
BHD,0.222498
BWP,6.672842
BRL,3.336444
BND,0.799091
CAD,0.733119
CLP,481.367714
CNY,3.787718
COP,2229.096726
HRK,3.840418
CZK,13.108394
DKK,3.804141
EUR,0.511292
HKD,4.604323
HUF,184.232415
ISK,76.695239
INR,44.335794
IDR,8440.881912
IRR,24868.406121
ILS,1.856875
JPY,67.661526
KZT,253.257679
KRW,697.346478
KWD,0.178585
LYD,2.714581
MYR,2.455433
MUR,25.455536
MXN,12.244445
NPR,71.269788
NZD,0.824781
NOK,4.991112
OMR,0.227527
PKR,100.865292
PHP,29.886511
PLN,2.358501
QAR,2.153965
RON,2.530374
RUB,41.987359
SAR,2.219058
SGD,0.799091
ZAR,9.066616
LKR,119.530604
SEK,5.077414
CHF,0.541933
TWD,16.490875
THB,19.747190
TTD,4.004942
TRY,5.648111
AED,2.173197
GBP,0.432858
USD,0.591749
VEF,257231.869529
