currency,rate
ARS,265.090398
AUD,3.545377
BWP,29.990637
BRL,14.995424
BND,3.591460
BGN,4.494432
CAD,3.294953
CLP,2163.474648
CNY,17.023644
COP,10018.524541
HRK,17.260497
CZK,58.914791
DKK,17.097454
EUR,2.297967
HKD,20.693818
HUF,828.020134
ISK,344.701569
INR,199.264227
IDR,37936.973121
IRR,111769.370122
ILS,8.345601
JPY,304.100156
KZT,1138.249517
KRW,3134.176604
KWD,0.802636
LYD,12.200501
MYR,11.035779
MUR,114.408187
MXN,55.031830
NPR,320.317246
NZD,3.706921
NOK,22.432217
OMR,1.022606
PKR,453.332235
PHP,134.322904
PLN,10.600123
QAR,9.680851
RON,11.372595
RUB,188.709348
SAR,9.973404
SGD,3.591460
ZAR,40.749294
LKR,537.222217
SEK,22.820092
CHF,2.435680
TWD,74.117123
THB,88.752412
TTD,17.999940
TRY,25.385052
AED,9.767287
GBP,1.945449
USD,2.659574
VEF,1156111.247836
