currency,rate
ARS,73.811309
AUD,0.987169
BHD,0.278438
BWP,8.350541
BRL,4.175300
BGN,1.251422
CAD,0.917441
CLP,602.394118
CNY,4.740034
COP,2789.540549
HRK,4.805983
CZK,16.404132
DKK,4.760585
EUR,0.639842
HKD,5.761951
HUF,230.552486
ISK,95.978105
INR,55.482785
IDR,10563.104814
IRR,31120.869022
ILS,2.323735
JPY,84.673119
KZT,316.932216
KRW,872.674682
KWD,0.223485
LYD,3.397086
MYR,3.072783
MUR,31.855616
MXN,15.322967
NPR,89.188577
NZD,1.032149
NOK,6.245988
OMR,0.284733
PKR,126.225039
PHP,37.400636
PLN,2.951480
QAR,2.695519
RON,3.166566
RUB,52.543903
SAR,2.776977
SGD,1.000000
ZAR,11.346162
LKR,149.583220
SEK,6.353987
CHF,0.678186
TWD,20.637043
THB,24.712067
TTD,5.011872
TRY,7.068170
AED,2.719586
GBP,0.541687
USD,0.740527
VEF,321905.605084
