currency,rate
ARS,17.678086
AUD,0.236431
BHD,0.066687
BWP,1.999986
BND,0.239504
BGN,0.299720
CAD,0.219731
CLP,144.275657
CNY,1.135256
COP,668.105452
HRK,1.151051
CZK,3.928851
DKK,1.140178
EUR,0.153245
HKD,1.380009
HUF,55.218187
ISK,22.987117
INR,13.288336
IDR,2529.903328
IRR,7453.565169
ILS,0.556543
JPY,20.279530
KZT,75.906458
KRW,209.008868
KWD,0.053525
LYD,0.813615
MYR,0.735943
MUR,7.629540
MXN,3.669908
NPR,21.361000
NZD,0.247203
NOK,1.495938
OMR,0.068195
PKR,30.231372
PHP,8.957593
PLN,0.706891
QAR,0.645587
RON,0.758404
RUB,12.584462
SAR,0.665097
SGD,0.239504
ZAR,2.717449
LKR,35.825744
SEK,1.521804
CHF,0.162428
TWD,4.942649
THB,5.918633
TTD,1.200362
TRY,1.692853
AED,0.651351
GBP,0.129736
USD,0.177359
VEF,77097.603032
