currency,rate
ARS,8.840159
AUD,0.118223
BHD,0.033346
BRL,0.500050
BND,0.119760
BGN,0.149863
CAD,0.109872
CLP,72.142932
CNY,0.567589
COP,334.203441
HRK,0.575575
CZK,1.964175
DKK,0.570080
EUR,0.076623
HKD,0.690063
HUF,27.608227
ISK,11.493850
INR,6.643939
IDR,1264.729023
IRR,3727.098331
ILS,0.278274
JPY,10.139062
KZT,37.956814
KRW,104.493095
KWD,0.026764
LYD,0.406870
MYR,0.368010
MUR,3.815055
MXN,1.834718
NPR,10.680132
NZD,0.123607
NOK,0.747925
OMR,0.034100
PKR,15.117003
PHP,4.478900
PLN,0.353446
QAR,0.322821
RON,0.379223
RUB,6.291573
SAR,0.332576
SGD,0.119760
ZAR,1.358516
LKR,17.914683
SEK,0.760957
CHF,0.081221
TWD,2.471462
THB,2.959117
TTD,0.600249
TRY,0.846496
AED,0.325703
GBP,0.064877
USD,0.088687
VEF,38547.660739
