currency,rate
ARS,80.458495
AUD,1.076003
BHD,0.303501
BWP,9.101476
BRL,4.551196
BND,1.089995
BGN,1.363970
CLP,656.607188
CNY,5.165894
COP,3041.744692
HRK,5.238582
CZK,17.876889
DKK,5.188572
EUR,0.697387
HKD,6.280590
HUF,251.275623
ISK,104.611001
INR,60.469656
IDR,11510.901197
IRR,33922.097027
ILS,2.532700
JPY,92.280436
KZT,345.463038
KRW,951.041428
KWD,0.243595
LYD,3.703122
MYR,3.349433
MUR,34.722629
MXN,16.698647
NPR,97.204972
NZD,1.125009
NOK,6.807222
OMR,0.310362
PKR,137.587040
PHP,40.764601
PLN,3.216882
QAR,2.938146
RON,3.451492
RUB,57.262602
SAR,3.026937
SGD,1.089995
ZAR,12.364506
LKR,163.050064
SEK,6.925832
CHF,0.739235
TWD,22.493957
THB,26.932333
TTD,5.463156
TRY,7.704367
AED,2.964380
GBP,0.590474
USD,0.807183
VEF,350840.619610
