currency,rate
ARS,108.840218
AUD,1.455563
BHD,0.410561
BWP,12.312021
BRL,6.156630
BND,1.474491
BGN,1.845111
CAD,1.352750
CLP,888.225283
CNY,6.988162
COP,4114.719709
HRK,7.086491
CZK,24.182959
DKK,7.018840
EUR,0.943390
HKD,8.496067
HUF,339.913065
ISK,141.512517
INR,81.800319
IDR,15571.369996
IRR,45888.112046
ILS,3.426110
JPY,124.832347
KZT,467.325076
KRW,1286.521160
KWD,0.329523
LYD,5.009398
MYR,4.530945
MUR,46.971032
MXN,22.589092
NPR,131.494013
NZD,1.521856
NOK,9.208468
OMR,0.419842
PKR,186.120849
PHP,55.144309
PLN,4.351636
QAR,3.974577
RON,4.669005
RUB,77.461977
SAR,4.094688
SGD,1.474491
ZAR,16.726083
LKR,220.565951
SEK,9.368918
TWD,30.428697
THB,36.432710
TTD,7.390284
TRY,10.422081
AED,4.010064
GBP,0.798764
USD,1.091917
VEF,474599.599485
