currency,rate
ARS,0.122537
AUD,0.001639
BHD,0.000462
BWP,0.013861
BRL,0.006931
BND,0.001660
BGN,0.002077
CAD,0.001523
CNY,0.007868
COP,4.632518
HRK,0.007978
CZK,0.027226
DKK,0.007902
EUR,0.001062
HKD,0.009565
HUF,0.382688
ISK,0.159321
INR,0.092094
IDR,17.530879
IRR,51.662695
ILS,0.003857
JPY,0.140541
KZT,0.526133
KRW,1.448418
KWD,0.000371
LYD,0.005640
MYR,0.005101
MUR,0.052882
MXN,0.025432
NPR,0.148041
NZD,0.001713
NOK,0.010367
OMR,0.000473
PKR,0.209542
PHP,0.062084
PLN,0.004899
QAR,0.004475
RON,0.005257
RUB,0.087210
SAR,0.004610
SGD,0.001660
ZAR,0.018831
LKR,0.248322
SEK,0.010548
CHF,0.001126
TWD,0.034258
THB,0.041017
TTD,0.008320
TRY,0.011734
AED,0.004515
GBP,0.000899
USD,0.001229
VEF,534.323452
