currency,rate
ARS,15.574942
AUD,0.208290
BHD,0.058751
BWP,1.761840
BRL,0.881009
BND,0.210998
BGN,0.264034
CAD,0.193577
CLP,127.104275
COP,588.812855
HRK,1.014071
CZK,3.460561
DKK,1.004390
EUR,0.134998
HKD,1.215780
HUF,48.641267
ISK,20.250320
INR,11.705555
IDR,2228.249667
IRR,6566.549404
ILS,0.490273
JPY,17.863402
KZT,66.873817
KRW,184.100073
KWD,0.047154
LYD,0.716841
MYR,0.648374
MUR,6.721514
MXN,3.232480
NPR,18.816680
NZD,0.217776
NOK,1.317724
OMR,0.060079
PKR,26.633734
PHP,7.891103
PLN,0.622715
QAR,0.568759
RON,0.668131
RUB,11.084742
SAR,0.585946
SGD,0.210998
ZAR,2.393488
LKR,31.562798
SEK,1.340684
CHF,0.143099
TWD,4.354320
THB,5.213490
TTD,1.057543
TRY,1.491391
AED,0.573837
GBP,0.114302
USD,0.156252
VEF,67914.794880
