currency,rate
ARS,0.026451
AUD,0.000354
BHD,0.000100
BWP,0.002992
BRL,0.001496
BND,0.000358
BGN,0.000448
CAD,0.000329
CLP,0.215865
CNY,0.001698
HRK,0.001722
CZK,0.005877
DKK,0.001706
EUR,0.000229
HKD,0.002065
HUF,0.082609
ISK,0.034392
INR,0.019880
IDR,3.784309
IRR,11.152184
ILS,0.000833
JPY,0.030338
KZT,0.113574
KRW,0.312663
KWD,0.000080
LYD,0.001217
MYR,0.001101
MUR,0.011415
MXN,0.005490
NPR,0.031957
NZD,0.000370
NOK,0.002238
OMR,0.000102
PKR,0.045233
PHP,0.013402
PLN,0.001058
QAR,0.000966
RON,0.001135
RUB,0.018826
SAR,0.000995
SGD,0.000358
ZAR,0.004065
LKR,0.053604
SEK,0.002277
CHF,0.000243
TWD,0.007395
THB,0.008854
TTD,0.001796
TRY,0.002533
AED,0.000975
GBP,0.000194
USD,0.000265
VEF,115.341902
