currency,rate
ARS,4.501533
AUD,0.060201
BHD,0.016980
BWP,0.509198
BRL,0.254637
BND,0.060981
BGN,0.076309
CAD,0.055948
CLP,36.735071
CNY,0.289017
COP,170.175879
HRK,0.293082
DKK,0.290280
EUR,0.039016
HKD,0.351381
HUF,14.058309
ISK,5.852737
INR,3.382910
IDR,644.149966
IRR,1897.832750
ILS,0.141705
JPY,5.162418
KZT,19.327551
KRW,53.210768
KWD,0.013628
LYD,0.207178
MYR,0.187390
MUR,1.942620
MXN,0.934183
NPR,5.438028
NZD,0.062939
NOK,0.380691
OMR,0.017364
PKR,7.697555
PHP,2.280872
PLN,0.179960
QAR,0.164380
RON,0.193101
RUB,3.203005
SAR,0.169347
SGD,0.060981
ZAR,0.691683
LKR,9.122129
SEK,0.387429
CHF,0.041358
TWD,1.258630
THB,1.506771
TTD,0.305646
TRY,0.431050
AED,0.165848
GBP,0.033033
USD,0.045159
VEF,19628.409692
