currency,rate
ARS,15.507537
AUD,0.207390
BHD,0.058495
BWP,1.754161
BRL,0.877210
BND,0.210078
BGN,0.262882
CAD,0.192739
CLP,126.550321
CNY,0.995648
COP,586.246656
HRK,1.009651
CZK,3.444946
EUR,0.134409
HKD,1.210488
HUF,48.430109
ISK,20.162360
INR,11.653941
IDR,2219.061623
IRR,6537.930679
ILS,0.488165
JPY,17.784251
KZT,66.582363
KRW,183.308205
KWD,0.046949
LYD,0.713716
MYR,0.645548
MUR,6.692220
MXN,3.218210
NPR,18.733710
NZD,0.216823
NOK,1.311459
OMR,0.059817
PKR,26.517657
PHP,7.857479
PLN,0.619954
QAR,0.566280
RON,0.665223
RUB,11.034178
SAR,0.583393
SGD,0.210078
ZAR,2.382811
LKR,31.425239
SEK,1.334672
CHF,0.142476
TWD,4.335912
THB,5.190743
TTD,1.052934
TRY,1.484943
AED,0.571336
GBP,0.113798
USD,0.155571
VEF,67618.804593
