currency,rate
ARS,115.375355
AUD,1.542973
BHD,0.435199
BWP,13.050876
BRL,6.526399
BND,1.562969
BGN,1.955830
CAD,1.433970
CLP,941.528494
CNY,7.407574
COP,4361.647801
HRK,7.511758
CZK,25.630235
DKK,7.439953
HKD,9.005973
HUF,360.317756
ISK,150.007020
INR,86.704776
IDR,16509.715079
IRR,48641.899606
ILS,3.631922
JPY,132.314000
KZT,495.369681
KRW,1363.804503
KWD,0.349298
LYD,5.310017
MYR,4.802844
MUR,49.789806
MXN,23.943336
NPR,139.377927
NZD,1.613151
NOK,9.757194
OMR,0.445037
PKR,197.290132
PHP,58.459278
PLN,4.612426
QAR,4.213095
RON,4.949227
RUB,82.093772
SAR,4.340414
SGD,1.562969
ZAR,17.728006
LKR,233.802316
SEK,9.929896
CHF,1.060011
TWD,32.258984
THB,38.618883
TTD,7.833781
TRY,11.047905
AED,4.250712
GBP,0.846652
USD,1.157444
VEF,503080.755384
